actual,expectations
1.4957610782063582,1.3698173775544342
2.104112509859227,1.3666718941248777
1.4472651317038943,1.3574471304574303
1.2365370242962523,1.3512855782201114
1.5271557756659901,1.350237358188487
1.3494328623344929,1.351965509075111
1.4947127996534997,1.3537756190370847
1.9298804159278462,1.3545189744974462
1.697316205248457,1.3543751865343943
0.9602632270452715,1.353955025967864
1.805370393652266,1.3536772919006235
2.528317894560741,1.353627502189486
1.9800778204707763,1.3537017411790344
0.840870653156532,1.3537816639068885
1.3786890458003587,1.353815221805686
1.6420374375333342,1.3538092976916083
1.725787603945143,1.3537907707766765
1.5707079152418557,1.3537783581961917
1.3390421401419692,1.3537760209296754
1.4039578776459964,1.3537792456050979
1.7890587127473778,1.3537827892437146
1.5264274317008835,1.353784304440659
0.8422040783096298,1.3537840633252036
1.3235200056376386,1.3537832479028167
1.4767574550176132,1.3537826935422002
2.5925663351625126,1.353782584207056
1.264651160117532,1.3537827242516034
1.6083362758475839,1.3537828813645514
2.30397331632515,1.3537829497447416
1.4428830406241069,1.35378294001658
0.7035493517701445,1.3537829041409437
1.5423901877981399,1.353782879389706
2.238027947417082,1.353782874289762
1.6428475679580874,1.3537828803675598
1.1028839110053508,1.3537828873318547
1.5480596211619848,1.3537828904162694
1.6127321482035986,1.3537828900277977
1.5086088617504323,1.3537828884498926
1.4626973798683796,1.3537828873450886
1.1451761499430353,1.3537828871078157
0.9584162621787873,1.3537828873713897
0.8223126747304854,1.3537828876800218
1.230910480997195,1.3537828878190818
1.84636631685526,1.3537828878037659
0.8486866581847128,1.3537828877343876
1.1442720706649863,1.3537828876850861
0.9951125893432322,1.353782887674073
1.3809288142418346,1.353782887685494
0.6583124672775114,1.3537828876991678
1.0802145847398879,1.3537828877054339
1.3034861131061863,1.3537828877048401
1.0240425721655344,1.3537828877017914
1.5189884417857833,1.3537828876995923
1.3781396760001283,1.3537828876990823
1.575893324107088,1.3537828876995763
0.9771322230412965,1.3537828877001814
1.4421201854087093,1.3537828877004636
1.0022409414958153,1.3537828877004412
2.0515290376211825,1.353782887700307
1.7685270466996048,1.3537828877002092
1.3947319290975326,1.3537828877001858
